"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="152628390135049012","美国进口gracelandfruit蓝莓果干果脯蜜饯141.7克*3袋装零食烘焙","234.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","卖家已发货，等待买家确认","null"
="152628390135049012","进口gracelandfruit蔓越莓切片果干果脯蜜饯226.8g*3包烘焙零食","168.00","1","929ee2f103d1f164994487f95b09f5e9","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","929ee2f103d1f164994487f95b09f5e9"
="152759011093978825","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
="152759011093978825","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="153681398401182990","美国进口gracelandfruit蓝莓果干果脯141.7gx2袋装烘焙休闲零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","a1c18d039f688cfb0e79a6e41266f24c"
="139740805540909949","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","卖家已发货，等待买家确认","P01811"
="152651911450126209","美国进口gracelandfruit蓝莓果干果脯141.7gx2袋装烘焙休闲零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="153631136938325897","美国进口gracelandfruit整粒蔓越莓果干果脯226.8gx2包零食烘焙","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","563768b459bbf959bbb4d6972239c1fc"
="153545402980900680","gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","null","卖家已发货，等待买家确认","P01810"
="153589052827695075","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778019"
="152426146853035108","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
="153462436471099874","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
="152504435492798907","gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","卖家已发货，等待买家确认","P01808"
="152188816102489321","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","交易成功","P01811"
="139605315864070243","进口gracelandfruit蔓越莓切片果干果脯蜜饯226.8g*3包烘焙零食","168.00","1","929ee2f103d1f164994487f95b09f5e9","组合套餐：graceland fruit","null","null","交易成功","929ee2f103d1f164994487f95b09f5e9"
="139605315864070243","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="139413288194348268","gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","祝掌柜生意好！","交易成功","P01810"
="139475227024228060","gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="139439191127771186","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
="152392407675551828","【天猫男人节】美国原装进口蔓越莓切片果干果脯蜜饯226.8g*5袋组合装休闲零食","230.00","1","null","组合套餐：(graceland fruit 蔓越莓果干)*5","null","null","卖家已发货，等待买家确认","null"
="152385715408562322","【天猫男人节】进口gracelandfruit整粒蓝莓蔓越莓果干夹心黑巧克力零食150g*2罐","272.00","1","null","组合套餐：(蓝莓果干巧克力)*1+(蔓越莓果干巧克力150g)*1","null","null","交易成功","null"
="139337997889826261","【天猫男人节】gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="139337997889826261","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
="152383811196169826","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="152038345151293807","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="139359922398845669","【天猫男人节】gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","null","交易成功","P01810"
="139262340517589861","【天猫男人节】美国进口果瑞氏无添加糖蔓越莓果干果脯办公室休闲零食小吃113.4g","200.00","1","708390000326","食品口味：无糖蔓越莓113.4","null","null","交易成功","708390000326"
="152065532518847621","【天猫男人节】gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","卖家已发货，等待买家确认","P01811"
="152034200857593600","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="139113941244659145","【天猫男人节】gracelandfruit美国原装进口樱桃果干1kg 无添加健康零食","388.00","1","P01809","食品口味：酸樱桃果干1kg/包","null","null","卖家已发货，等待买家确认","P01809"
="139097982223081079","【天猫男人节】gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","null","卖家已发货，等待买家确认","P01810"
="138946053950630591","【天猫男人节】gracelandfruit美国进口芒果混合果干橙皮混合果干454克*2包组合","417.00","1","null","组合套餐：(芒果混合果干453g)*1+(橙皮混合果干453g)*1","null","null","交易成功","null"
="151997744514898622","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778019"
="151997744514898622","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
="138860067756652252","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
="151972432693175221","【天猫男人节】美国进口gracelandfruit蓝莓果干果脯141.7gx2袋装烘焙休闲零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","a1c18d039f688cfb0e79a6e41266f24c"
="138822407675067867","【天猫男人节】美国进口果瑞氏无添加糖蔓越莓果干果脯办公室休闲零食小吃113.4g","200.00","1","708390000326","食品口味：无糖蔓越莓113.4","null","null","交易成功","708390000326"
="153374936824530584","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
