单号,货品编码,货品名称,仓库名称,出入库时间,单据类型,库存类型,出入数量,结存数量,ERP订单号,外部流水号
LBX0325661731804781,708390000227,GracelandFruit芒果莓果 混合果干 454克,菜鸟上海保税1号仓,2018-04-26 16:14:06,交易出库,可销售库存,-1,16,138946053950630591,138946053950630591
LBX0825661731813302,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 15:24:33,库存状态调整入库,残次,1,11473,TF003673            ,0
LBX0925661731813301,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 15:24:33,库存状态调整出库,可销售库存,-1,0,TF003673            ,0
LBX0325661731434569,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 15:22:22,交易出库,可销售库存,-1,1219,151997744514898622,151997744514898622
LBX0325661731434569,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 15:22:22,交易出库,可销售库存,-1,1611,151997744514898622,151997744514898622
LBX0325661731214148,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 14:48:17,交易出库,可销售库存,-2,2,151972432693175221,151972432693175221
LBX0325661731238071,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 14:46:12,交易出库,可销售库存,-1,1220,138860067756652252,138860067756652252
LBX0325661731035423,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-26 13:13:13,交易出库,可销售库存,-1,257,138822407675067867,138822407675067867
LBX0325661730580931,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟宁波保税1号仓,2018-04-26 13:06:22,交易出库,可销售库存,-2,1,153304993207707985,153304993207707985
LBX0325661730819131,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 12:44:17,交易出库,可销售库存,-1,1612,153374936824530584,153374936824530584
LBX0325661730716050,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 12:10:00,交易出库,可销售库存,-4,1,152239723740914828,152239723740914828
LBX0325661730611037,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 11:54:03,交易出库,可销售库存,-2,5,138595380787688979,138595380787688979
LBX0325661730585941,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 11:52:33,交易出库,可销售库存,-1,1221,153326051139707985,153326051139707985
LBX0325661730585941,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 11:52:33,交易出库,可销售库存,-1,1613,153326051139707985,153326051139707985
LBX0325661729943125,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 11:03:00,交易出库,可销售库存,-2,1222,153247453492027081,153247453492027081
LBX0325661730167533,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 11:00:33,交易出库,可销售库存,-2,4,138627329858441932,138627329858441932
LBX0325661729893303,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-26 10:59:35,交易出库,可销售库存,-1,258,153259998009474286,153259998009474286
LBX0325661729869574,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 10:58:28,交易出库,可销售库存,-2,7,153241153958301592,153241153958301592
LBX0325661730457252,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-26 10:56:00,交易出库,可销售库存,-2,259,153313815923986567,153313815923986567
LBX0325661730457252,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 10:56:00,交易出库,可销售库存,-6,6,153313815923986567,153313815923986567
LBX0325661729761804,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-26 10:09:53,交易出库,可销售库存,-1,261,152171515401396026,152171515401396026
LBX0325661729761804,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 10:09:53,交易出库,可销售库存,-2,1224,152171515401396026,152171515401396026
LBX0325661729761804,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 10:09:53,交易出库,可销售库存,-2,12,152171515401396026,152171515401396026
LBX0325661729761804,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-26 10:09:53,交易出库,可销售库存,-2,396,152171515401396026,152171515401396026
LBX0325661729761804,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 10:09:53,交易出库,可销售库存,-2,9,152171515401396026,152171515401396026
LBX0325661728976541,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 10:04:45,交易出库,可销售库存,-2,14,153114285418501169,153114285418501169
LBX0325661729821955,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 10:04:33,交易出库,可销售库存,-6,19,138641498525627034,138641498525627034
LBX0325661729821955,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 10:04:33,交易出库,可销售库存,-3,16,138641498525627034,138641498525627034
LBX0325661729561074,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:59:28,交易出库,可销售库存,-3,27,153205285041260186,153205285041260186
LBX0325661729561074,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:59:28,交易出库,可销售库存,-2,25,153205285041260186,153205285041260186
LBX0325661729664822,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:58:44,交易出库,可销售库存,-2,1226,153237795086109662,153237795086109662
LBX0325661729778386,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:58:44,交易出库,可销售库存,-1,1614,153248238443574595,153248238443574595
LBX0325661729603555,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:58:44,交易出库,可销售库存,-5,275,138675995085834234,138675995085834234
LBX0325661729765477,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-26 09:58:44,交易出库,可销售库存,-1,39,152170003492040929,152170003492040929
